code,building,drawing,sheet,axis,level_start,level_end,orientation,classification,bar_count,diameter_mm,spacing_cm,length_cm,lap_anchorage,face_edge,wall_parents,status,source,geometry_pending,resolution,note,record_type
LT2:300:01,LT2,2024_22-300-300-Model,300,1,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,M002,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano.,BOUNDARY
LT2:300:02,LT2,2024_22-300-300-Model,300,1,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,M002,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible).,BOUNDARY
LT2:300:03,LT2,2024_22-300-300-Model,300,1,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,M002,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado.,DISTRIBUTED
LT2:300:04,LT2,2024_22-300-300-Model,300,1,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,M002,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado.,DISTRIBUTED
LT2:300:05,LT2,2024_22-300-300-Model,300,1,B1,ROOF,VERTICAL,LOCAL,,,,,,,M002,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano.",LOCAL
LT2:300:06,LT2,2024_22-300-300-Model,300,1',B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:300:07,LT2,2024_22-300-300-Model,300,1',L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:300:08,LT2,2024_22-300-300-Model,300,1',B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:300:09,LT2,2024_22-300-300-Model,300,1',B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:300:10,LT2,2024_22-300-300-Model,300,1',B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
