code,building,drawing,sheet,part,notation,bar_count,diameter_mm,spacing_cm,length_cm,detail_reference,levels,status,source,resolution,note
LT2:500:01,LT2,2024_22-500-Model,500,FLIGHT_RAMP,Φ8@20 TIP (transversal),,8,20,,,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,refuerzo transversal de los tramos de escalera (TIP).
LT2:500:02,LT2,2024_22-500-Model,500,FLIGHT_RAMP,longitudinal/principal Φ10@10,,10,10,,,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,armadura longitudinal principal observada en los cortes.
LT2:500:03,LT2,2024_22-500-Model,500,FLIGHT_RAMP,longitudinal/principal Φ10@20,,10,20,,,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,armadura longitudinal principal observada en los cortes.
LT2:500:04,LT2,2024_22-500-Model,500,FLIGHT_RAMP,F' Φ8@20 L≈180 (150+30),,8,20,180,CORTE C,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,"F' (superior) del tramo, L≈180 = 150+30. valores del CORTE C del plano 500; NO se extrapolan a los cortes A/B (sus longitudes difieren)."
LT2:500:05,LT2,2024_22-500-Model,500,FLIGHT_RAMP,F Φ10@10 L≈455,,10,10,455,CORTE C,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,"F (inferior) del tramo, L≈455. valores del CORTE C del plano 500; NO se extrapolan a los cortes A/B (sus longitudes difieren)."
LT2:500:06,LT2,2024_22-500-Model,500,FLIGHT_RAMP,F=F' 2Φ12 L≈455,2,12,,455,CORTE C,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,"2Φ12 continuas (F=F'), L≈455. valores del CORTE C del plano 500; NO se extrapolan a los cortes A/B (sus longitudes difieren)."
LT2:500:07,LT2,2024_22-500-Model,500,LANDING,F' Φ10@10 L≈215,,10,10,215,CORTE C,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,"F' del descanso, L≈215. valores del CORTE C del plano 500; NO se extrapolan a los cortes A/B (sus longitudes difieren)."
LT2:500:08,LT2,2024_22-500-Model,500,LANDING,F Φ10@20 L≈215,,10,20,215,CORTE C,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,"F del descanso, L≈215. valores del CORTE C del plano 500; NO se extrapolan a los cortes A/B (sus longitudes difieren)."
LT2:500:09,LT2,2024_22-500-Model,500,LANDING,F=F' 2+2Φ16 L≈215,4,16,,215,CORTE C,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,"2+2Φ16 (F=F') del descanso, L≈215. valores del CORTE C del plano 500; NO se extrapolan a los cortes A/B (sus longitudes difieren)."
LT2:500:10,LT2,2024_22-500-Model,500,SUPPORT_LOCAL,4Φ12 en encuentros rampa-descanso,4,12,,,,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,refuerzo local en el encuentro rampa-descanso.
LT2:500:11,LT2,2024_22-500-Model,500,EDGE,2Φ12 en bordes,2,12,,,,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,EXACT,EXACT_DRAWING,RESOLVED_METADATA,barras de borde de los tramos.
LT2:500:12,LT2,2024_22-500-Model,500,DETAIL,detalles PL1 / PL2 / PL3,,,,,PL1; PL2; PL3,1_SUB-1_PISO ; 1_PISO-4_PISO ; 4_PISO-CUBIERTA,DETAIL_FROM_DRAWING_REQUIRED,EXACT_DRAWING,RESOLVED_METADATA,"Detalles del plano 500 (separadores, empalmes, anclajes, espesores/alturas graficos). El modelo combinado NO tiene elementos de escalera: no se fabrican elementos FE."
