code,sheet,drawing,elevation,axis,level_start,level_end,classification,bar_count,diameter_mm,spacing_cm,length_cm,status,resolution,geometry_pending,note
LT1:300:01,300,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:02,300,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:03,300,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:04,300,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:05,300,2017_67-300-Model,300,E',FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:06,300,2017_67-300-Model,300,E',PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:07,300,2017_67-300-Model,300,E',PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:08,300,2017_67-300-Model,300,E',PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:09,300,2017_67-300-Model,300,E',PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:10,300,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
