elementTag,building,bar_type,bar_count,diameter_mm,layer,status,source,resolution,geometry_pending,note
100000,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100002,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100004,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100300,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100302,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100304,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100400,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100402,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100404,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
100600,LT1,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT1: 16 B22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
