code,category,drawing,sheet,status,resolution,zone_text,note
LT2:200I:07,mesh,2024_22-200I-Model,200I,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,esquinas del eje A',refuerzo de esquinas sobre eje A'; excepcion.
LT2:200S:04,mesh,2024_22-200S-Model,200S,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,esquinas del eje A' (Φ18@20),regla de esquina independiente del eje A'; no se equivale a las otras.
LT2:200S:05,mesh,2024_22-200S-Model,200S,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,esquinas del eje A' (Φ12@10),regla de esquina independiente del eje A'; no se equivale a las otras.
LT2:200S:06,mesh,2024_22-200S-Model,200S,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,esquinas del eje A' (Φ16@10),regla de esquina independiente del eje A'; no se equivale a las otras.
LT2:201S:08,mesh,2024_22-201S-Model,201S,NEEDS_EXACT_ZONE_MAPPING,RESOLVED,dos ejes sin nombre laterales a C,"dos ejes sin nombre, laterales al eje C; no localizables en la grilla del modelo."
LT2:200I:06,mesh,2024_22-200I-Model,200I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,eje 1' (excepcion),eje 1' no existe en la grilla modelada LT2.
LT2:201I:03,mesh,2024_22-201I-Model,201I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,eje 1' (excepcion),eje 1' no existe en la grilla modelada LT2.
LT2:201I:04,mesh,2024_22-201I-Model,201I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,losa 0112 (toda la losa),losa 0112 Φ8@18 toda la losa; excepcion de la malla general en esa area (numero de losa no mapeado a la grilla del modelo).
LT2:201I:05,mesh,2024_22-201I-Model,201I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,losa 0113 (toda la losa),losa 0113 Φ8@18 toda la losa; excepcion de la malla general en esa area (numero de losa no mapeado a la grilla del modelo).
LT2:201I:06,mesh,2024_22-201I-Model,201I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,losa 0116 (toda la losa),losa 0116 Φ8@18 toda la losa; excepcion de la malla general en esa area (numero de losa no mapeado a la grilla del modelo).
LT2:201I:07,mesh,2024_22-201I-Model,201I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,losa 0113 (toda la losa),losa 0113 Φ8@36 toda la losa; excepcion.
LT2:201I:08,mesh,2024_22-201I-Model,201I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,losa 0101: direccion vertical,losa 0101 (excepcion); vertical.
LT2:201I:09,mesh,2024_22-201I-Model,201I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,losa 0101: direccion horizontal,losa 0101 (excepcion); horizontal.
LT2:201S:09,mesh,2024_22-201S-Model,201S,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,losa 0109: direccion vertical,losa 0109 (excepcion); vertical.
LT2:201S:11,mesh,2024_22-201S-Model,201S,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,estribos del rectangulo rojo entre 1A'-2 sobre eje A',"estribos Φ8@15 del rectangulo rojo; refuerzo especial local, NO malla general."
LT2:202I:02,mesh,2024_22-202I-Model,202I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,eje 1' (inferior),eje 1' no existe en la grilla modelada LT2.
LT2:202I:04,mesh,2024_22-202I-Model,202I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,ejes horizontales: sector Φ8@36,sector de ejes horizontales Φ8@36; la particion de sectores requiere el plano (NO asignar a toda la direccion).
LT2:202I:05,mesh,2024_22-202I-Model,202I,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,ejes horizontales: sector Φ8@18,sector de ejes horizontales Φ8@18; la particion de sectores requiere el plano (NO asignar a toda la direccion).
LT2:201S:10,local,2024_22-201S-Model,201S,NEEDS_EXACT_ZONE_MAPPING,UNRESOLVED,rectangulo rojo con cruz entre 1A'-2 sobre eje A' (2Φ16),longitudinal 2Φ16 del rectangulo rojo con cruz; eje 1A' no modelado (grilla tiene 1A).
LT2:300:01,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,1,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Muro(s) FE del modelo: M002.
LT2:300:02,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,1,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Muro(s) FE del modelo: M002.
LT2:300:03,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,1,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M002.
