code,building,drawing,sheet,axis,level_start,level_end,orientation,classification,bar_count,diameter_mm,spacing_cm,length_cm,lap_anchorage,anchorage,face_edge,edge,wall_parents,physical_wall_id,element_tags,geometry_special,status,source,geometry_pending,resolution,note
LT1:300:01,LT1,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,VERTICAL,BOUNDARY,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:02,LT1,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,VERTICAL,DISTRIBUTED_VERTICAL,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:03,LT1,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,HORIZONTAL,DISTRIBUTED_HORIZONTAL,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:04,LT1,2017_67-300-Model,300,E',PISO_1S,CUBIERTA,VERTICAL,LOCAL,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:05,LT1,2017_67-300-Model,300,E',FUNDACION_SUP,PISO_1S,VERTICAL,STARTER,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:06,LT1,2017_67-300-Model,300,E',PISO_1S,PISO_1,VERTICAL,LAP,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:07,LT1,2017_67-300-Model,300,E',PISO_1,PISO_2,VERTICAL,LAP,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:08,LT1,2017_67-300-Model,300,E',PISO_2,PISO_3,VERTICAL,LAP,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:09,LT1,2017_67-300-Model,300,E',PISO_3,PISO_4,VERTICAL,LAP,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:10,LT1,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,VERTICAL,BOUNDARY,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:11,LT1,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,VERTICAL,DISTRIBUTED_VERTICAL,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:12,LT1,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,HORIZONTAL,DISTRIBUTED_HORIZONTAL,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:13,LT1,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,VERTICAL,LOCAL,,,,,,,,,,,,False,NEEDS_DRAWING_VALUE_CONFIRMATION,DRAWING_ELEVATION,True,RESOLVED_METADATA,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
