beam_id,drawing,sheet,section,kind,axes_text,group,F_base,F_top_base,F_bottom_additional,F_top_additional,longitudinal,stirrups,detail_reference,confidence,note
0101,2017_67-400-Model,400,V.20/VAR,SPECIAL,ejes 1b-8 (luz ~810 cm),,2B22 L~1150,2B22 L~1150,2B22 L~600,2B22 L~800,F' base 2B22 L~1150 ; +F' 2B22 L~800 (ext. der) ; +F 2B22 L~600 (central) ; F base 2B22 L~1150,detalle TP4 (plano 002); distribucion no transcrita,TP4_PLAN_002,EXACT,variacion de la dimension 'VAR' no se inventa; detalle TP4_PLAN_002.
0102,2017_67-400-Model,400,V.S.I. 20/150,SPECIAL,E'-F-G-Ga,,2B18 L~800; 2B18 L~1200; 2B18 L~800,2B18 L~460; 2B18 L~1200; 2B18 L~800,,,F'/sup: 2B18 L~460 izq / L~1200 continuo / L~800 der ; F/inf: 2B18 L~800 / 1200 / 800,verticales/refuerzos de extremo en ambos extremos (plano),,EXACT,viga profunda especial (20/150); NO es V60/80 ni 2B22.
V100,2017_67-400-Model,400,V.60/80,CONTINUOUS,3-2-1,conjunto V100-V101,2B22 L~700,2B22 L~1200,,2B22 L~700; 2B22 L~1100; 4B22 L~400,"(""F' base: V100 2B22 L~1200 ; V101 2B22 L~700. +F': 2B22 L~700 (ext.izq), 2B22 L~1100 + 4B22 L~400 (apoyo intermedio), der 2B22 L~400-450, 4B22 L~800, 2B22 L~800. F: 2B22 L~700 (3-2) / L~1200 (2-1)"",)",zona TP.4 + zona TP.1 (detalle plano 002); secuencia no inventada,TP.1_PLANO_002; TP.4_PLANO_002,EXACT,barras que cruzan el apoyo eje 2 conservan continuidad fisica (NO se cortan en el elementTag).
V101,2017_67-400-Model,400,V.60/80,CONTINUOUS,3-2-1,conjunto V100-V101,2B22 L~1200,2B22 L~700,,2B22 L~1100; 4B22 L~400; 2B22 L?; 4B22 L~800; 2B22 L~800,"(""F' base 2B22 L~700 ; +F' der 2B22 L~400-450 / 4B22 L~800 / 2B22 L~800 ; F 2B22 L~1200"",)",zona TP.4 + zona TP.1 (detalle plano 002),TP.1_PLANO_002; TP.4_PLANO_002,EXACT,tramo 2-1 del conjunto; continuidad con V100 sobre eje 2.
V102,2017_67-400-Model,400,V.60/80,CONTINUOUS,3-2-1,conjunto V102-V103,2B22 L~700,2B22 L~1200,,2B22 L~700; 2B22 L~1100; 4B22 L~400,"(""F' 2B22 L~1200 (3-2) / L~700 (2-1). +F': 2B22 L~700, 2B22 L~1100, 4B22 L~400, 2B22 L~400, 4B22 L~800, 2B22 L~800. F 2B22 L~700 izq / 2B22 L~1200 der"",)",zona TP.1 + zona TP.4 (detalle plano 002),TP.1_PLANO_002; TP.4_PLANO_002,EXACT,detalle propio; NO es alias de V100-V101.
V103,2017_67-400-Model,400,V.60/80,CONTINUOUS,3-2-1,conjunto V102-V103,2B22 L~1200,2B22 L~700,,2B22 L~1100; 4B22 L~400; 2B22 L~400; 4B22 L~800; 2B22 L~800,"(""F' 2B22 L~700 (2-1) ; +F' 2B22 L~400/4B22 L~800/2B22 L~800 ; F 2B22 L~1200 der"",)",zona TP.1 + zona TP.4 (detalle plano 002),TP.1_PLANO_002; TP.4_PLANO_002,EXACT,tramo 2-1 del conjunto V102-V103.
V104,2017_67-400-Model,400,V.60/80,CONTINUOUS,3-2-1,conjunto V104-V105,2B22 L?,2B22 L?,,2B22 L?; 4B22 L?,F' 2B22 ; +F' 2B22 y 4B22 por zona ; F 2B22 por tramo,TP.1/TP.4 (plano 002),TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,valores por tramo no transcritos (leer plano 400).
V105,2017_67-400-Model,400,V.60/80,CONTINUOUS,3-2-1,conjunto V104-V105,2B22 L?,2B22 L?,,2B22 L?; 4B22 L?,F' 2B22 ; +F' 2B22 y 4B22 por zona ; F 2B22 por tramo,TP.1/TP.4 (plano 002),TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,valores por tramo no transcritos (leer plano 400).
V106,2017_67-400-Model,400,V.60/80 (especial),SPECIAL,,,2B16 L~300,?B16 L?,,,F 2B16 L~300 (minimo); resto de llamadas ilegibles,no transcrito,,NEEDS_DRAWING_VALUE_CONFIRMATION,viga corta/especial: NO B22 por defecto.
V107,2017_67-400-Model,400,V.60/80,SINGLE_SPAN,,,4B22 L~745,,,?B22 L?,F base 4B22 L~745 ; refuerzos adicionales segun detalle,ED (ver plano 002),,EXACT,no extrapolar 4B22 a otras vigas.
